id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1231716766025424896,1231716766025424896,2020-02-23 20:05:35 -03,2020-02-23,20:05:35,-0300,389648019,edipinheiro2,edipinheiro,,O cacique Raoni está no carnaval da Bahia e está falando sobre a sua preocupação com o desmatamento da Amazônia e pedindo o apoio do povo para lutarmos pela preservação da mesma.,pt,[],[],[],0,2,9,[],[],https://twitter.com/edipinheiro2/status/1231716766025424896,False,,0,,,,,,,,[],,,,
1231696592656310272,1231696592656310272,2020-02-23 18:45:26 -03,2020-02-23,18:45:26,-0300,2236515570,obotinho,Wess ツ,,"""A destruição da Amazônia bem além do desmatamento (e do Brasil)""   https://t.co/lAje2SAQ3V",pt,[],['https://twitter.com/i/events/1228313544816459780'],[],0,1,1,[],[],https://twitter.com/obotinho/status/1231696592656310272,False,,0,,,,,,,,[],,,,
1231680751982272515,1231673819447922697,2020-02-23 17:42:29 -03,2020-02-23,17:42:29,-0300,383680731,annaartois,𝔪𝔢𝔡𝔲𝔰𝔞,,"@forgabbs ter a noção disso, reconhecer. Não é só porque uns comem carne que tem que sair aceitando toda crueldade que são feitas. Seria a mesma coisa que você comer soja, gostar de papel, e ser contra o desmatamento da Amazônia.",pt,[],[],[],0,0,0,[],[],https://twitter.com/annaartois/status/1231680751982272515,False,,0,,,,,,,,"[{'screen_name': 'forgabbs', 'name': 'Gabs', 'id': '1050234208273264641'}]",,,,
1231675124543303686,1231675124543303686,2020-02-23 17:20:07 -03,2020-02-23,17:20:07,-0300,291737660,simonerrodrigue,SimoneⓂ️🔰#MudaBrasilⓂ️🔰#BrasilConscienteⓂ️🔰,,"@ONUBrasil O Brasil não concorda com o desmatamento da Amazônia e nem com a doutrinação dos índios @jairbolsonaro o presid. e empresários gananciosos q querem Com Damares na ONU, Brasil será denunciado por desmonte em direitos humanos  https://t.co/1TW8UjuYc8 via @UOLNoticias @UOL",pt,"[{'screen_name': 'jairbolsonaro', 'name': 'jair m. bolsonaro', 'id': '128372940'}, {'screen_name': 'uolnoticias', 'name': 'uol notícias', 'id': '14594698'}, {'screen_name': 'uol', 'name': 'uol', 'id': '70799317'}]",['https://noticias.uol.com.br/colunas/jamil-chade/2020/02/23/com-damares-na-onu-brasil-sera-denunciado-por-desmonte-em-direitos-humanos.htm'],[],0,0,0,[],[],https://twitter.com/simonerrodrigue/status/1231675124543303686,False,,0,,,,,,,,[],,,,
1231647625348362242,1231634672553254913,2020-02-23 15:30:51 -03,2020-02-23,15:30:51,-0300,1087394255553916928,lucianovital9,Lutch🏳️‍🌈♍🏳️‍🌈,,@DamaresAlves Neste Congresso que o Brasil vai ter q explicar o desmatamento na Amazônia? E o aumento da pobreza?,pt,[],[],[],0,1,0,[],[],https://twitter.com/LucianoVital9/status/1231647625348362242,False,,0,,,,,,,,"[{'screen_name': 'DamaresAlves', 'name': 'Damares Alves', 'id': '1083774484123975680'}]",,,,
1231643651329142784,1231643651329142784,2020-02-23 15:15:03 -03,2020-02-23,15:15:03,-0300,63127680,bohngass,Bohn Gass,,"Bohn Gass dá a real - Direitos Humanos, ampliação do Hospital de Clínicas, desmatamento na Amazônia, petroleiros, liberais pedindo ajuda do Estado, crédito agrícola e cooperativas de crédito. Veja o que foi discutido na última semana em Brasília  https://t.co/e26NBteTf9 @YouTube",pt,"[{'screen_name': 'youtube', 'name': 'youtube', 'id': '10228272'}]",['https://youtu.be/3TBWk4LxQrUVia'],[],0,1,13,[],[],https://twitter.com/BohnGass/status/1231643651329142784,False,,0,,,,,,,,[],,,,
1231642971868684288,1231642971868684288,2020-02-23 15:12:21 -03,2020-02-23,15:12:21,-0300,1035947281198067713,analima_alef,Ana Lima,,"Um crime contra o povo brasileiro. Um crime lesa-pátria.  Genocídio contra os povos indígenas. ""A destruição da Amazônia bem além do desmatamento (e do Brasil)""   https://t.co/6XQBJBrZ82",pt,[],['https://twitter.com/i/events/1228313544816459780'],[],0,0,0,[],[],https://twitter.com/Analima_alef/status/1231642971868684288,False,,0,,,,,,,,[],,,,
1231640354123808776,1231640354123808776,2020-02-23 15:01:57 -03,2020-02-23,15:01:57,-0300,1206261438890881028,girottoroo,Girotto 🚩🇧🇷🚩,,"Uma crise onde os ricos ficam mais ricos e o pobre fica mais pobre. Não é crise, é farsa, é golpe.DESIGUALDADE: nos últimos 10 anos a renda dos brasileiros + ricos subiu 3%, e a dos + pobres desceu 20%. DESMATAMENTO:desmatamento na Amazônia subiu + 13,7%=7,9 mil km²",pt,[],[],[],0,0,0,[],[],https://twitter.com/GirottoRoo/status/1231640354123808776,False,,0,,,,,,,,[],,,,
1231636323590721536,1231636323590721536,2020-02-23 14:45:56 -03,2020-02-23,14:45:56,-0300,858949787869216768,meliconecta,Meli Conecta,,Tem interesse em acompanhar projetos de regeneração ambiental e impacto social na região do arco do desmatamento na Amazônia? Segue a @MeliRede !!,pt,[],[],[],0,1,3,[],[],https://twitter.com/MeliConecta/status/1231636323590721536,False,https://twitter.com/meli_bees/status/1231633814788755467,0,,,,,,,,[],,,,
1231599908433661952,1231599908433661952,2020-02-23 12:21:14 -03,2020-02-23,12:21:14,-0300,176126865,rolandsander,Roland Sander,,Diário do Centro do Mundo: CEO da Suzano denuncia desmatamento “catastrófico” da Amazônia.  https://t.co/7UW0i3o6zo  via @GoogleNews,pt,"[{'screen_name': 'googlenews', 'name': 'google news', 'id': '33584794'}]",['https://www.diariodocentrodomundo.com.br/essencial/ceo-da-suzano-denuncia-desmatamento-catastrofico-da-amazonia/'],[],0,0,0,[],[],https://twitter.com/RolandSander/status/1231599908433661952,False,,0,,,,,,,,[],,,,
1231588556621127681,1231546294570749953,2020-02-23 11:36:08 -03,2020-02-23,11:36:08,-0300,47767229,kelseiabreu,🇧🇷 🗡️ Uthred 🗡️ 🇧🇷,,"@Felipe_Lima_M É verdade... Bolsonaro pessoalmente foi lá na Amazônia tocar fogo na floresta e nas girafas, ele pessoalmente pegou uma lancha e derramou toneladas de óleo crú no nordeste... Amigão vai TNC, vc e esse discursinho xoxo.  Desmatamento sempre comeu solto no Brasil e a culpa e do PR?",pt,[],[],[],1,0,2,[],[],https://twitter.com/kelseiabreu/status/1231588556621127681,False,,0,,,,,,,,[],,,,
1231564420813393922,1231564420813393922,2020-02-23 10:00:13 -03,2020-02-23,10:00:13,-0300,17871562,socioambiental,socioambiental,,"Seis árvores derrubadas por segundo! 😧 Esse foi o ritmo do desmatamento na bacia do Xingu em 2019, que acompanhou a escalada da destruição na #Amazônia. Só em TIs e UCs, quase 40 mil hectares tombaram ilegalmente. Confira o boletim Sirad X:  https://t.co/pPdu6o2HqK",pt,[],['https://www.socioambiental.org/pt-br/blog/blog-do-xingu/200-milhoes-de-arvores-foram-derrubadas-no-xingu-em-2019?utm_source=isa&utm_medium=&utm_campaign='],[],1,135,219,['amazônia'],[],https://twitter.com/socioambiental/status/1231564420813393922,False,,0,,,,,,,,[],,,,
1231561418253754368,1231561418253754368,2020-02-23 09:48:18 -03,2020-02-23,09:48:18,-0300,149685788,freibetto,frei betto,,"DESIGUALDADE: nos últimos 10 anos a renda dos brasileiros + ricos subiu 3%, e a dos + pobres desceu 20%. DESMATAMENTO: entre agosto 2017 e julho 2018, desmatamento na Amazônia subiu + 13,7%=7,9 mil km2 (5 x a cidade de SP). Em nov 2019 a Amazônia já havia perdido 29% de sua área",pt,[],[],[],4,107,332,[],[],https://twitter.com/freibetto/status/1231561418253754368,False,,0,,,,,,,,[],,,,
1231553790274363393,1231543433862557697,2020-02-23 09:17:59 -03,2020-02-23,09:17:59,-0300,138492825,proindio,Comissão Pró-Índio,,"@TheInterceptBr 3 - Quando o Instituto Nacional de Pesquisas Espaciais (Inpe) alertou para os índices alarmantes de desmatamento na Amazônia, Bolsonaro pôs em dúvida credibilidade do órgão e desgaste com Salles provocou a demissão de chefe do Inpe.  https://t.co/vTnMjit9SQ",pt,[],['https://www.bbc.com/portuguese/brasil-49256294'],[],0,5,6,[],[],https://twitter.com/proindio/status/1231553790274363393,False,,0,,,,,,,,"[{'screen_name': 'TheInterceptBr', 'name': 'The Intercept Brasil', 'id': '751454653011951616'}]",,,,
1231551418055692294,1231543433862557697,2020-02-23 09:08:33 -03,2020-02-23,09:08:33,-0300,138492825,proindio,Comissão Pró-Índio,,"@TheInterceptBr 2 - Salles promoveu mudanças no Fundo Amazônia que afugentaram doadores internacionais. Em agosto, a Noruega deixou de doar R$ 133 milhões. Elogiado pelo TCU, o Fundo era importante para o combate ao desmatamento da Amazônia.  https://t.co/RQzMKK9NBA",pt,[],['https://oglobo.globo.com/sociedade/noruega-paralisa-repasses-para-fundo-amazonia-23879397'],[],1,4,14,[],[],https://twitter.com/proindio/status/1231551418055692294,False,,0,,,,,,,,"[{'screen_name': 'TheInterceptBr', 'name': 'The Intercept Brasil', 'id': '751454653011951616'}]",,,,
1231549131358920705,1231549131358920705,2020-02-23 08:59:28 -03,2020-02-23,08:59:28,-0300,842775287851094016,ojc_pr,OJC - Observatório de Justiça e Conservação,,Presidente da Suzano prevê desmatamento catastrófico da Amazônia - 20/02/2020 - UOL Economia  https://t.co/ozpkEzWWeO,pt,[],['https://economia.uol.com.br/noticias/bloomberg/2020/02/20/presidente-da-suzano-preve-desmatamento-catastrofico-da-amazonia.htm'],[],0,0,1,[],[],https://twitter.com/ojc_pr/status/1231549131358920705,False,,0,,,,,,,,[],,,,
