id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1399136009896480769,1399136009896480769,2021-05-30 19:49:54 -03,2021-05-30,19:49:54,-0300,1211991241258196992,joseluizsdeoli1,Jose Luiz S. de Oliveira Luiz,,GRILEIROS E MADEIREIRAS ATUAM LIVREMENTE NO DESMATAMENTO DA AMAZÔNIA SEM QUE HAJA EFETIVAMENTE AÇÃO DO GOVERNO NESSE SENTIDO clique nas imagens  https://t.co/4xTn1tm65B,pt,[],[],"['https://pbs.twimg.com/media/E2q6x6RXEAMs00Q.jpg', 'https://pbs.twimg.com/media/E2q6yHwWYAUebpq.jpg', 'https://pbs.twimg.com/media/E2q6ySwX0AMJCvQ.jpg']",0,0,0,[],[],https://twitter.com/JoseLuizSdeOli1/status/1399136009896480769,False,,1,https://pbs.twimg.com/media/E2q6x6RXEAMs00Q.jpg,,,,,,,[],,,,
1399129696923750400,1398973038834728964,2021-05-30 19:24:48 -03,2021-05-30,19:24:48,-0300,1277975805046345730,antonio41077522,Antonio,,@Esmeral31612559 @thenwtakeberlin As ONG's tem um papel muito importante no desmatamento da Amazonia. Muitas delas eram financiadas pelo o governo PT e muitas eram apenas empresas multinacionais que exploravam os recursos da Amazonia. Ha uma ONG norueguesa que se descobriu que criou um,pt,[],[],[],0,0,0,[],[],https://twitter.com/Antonio41077522/status/1399129696923750400,False,,0,,,,,,,,"[{'screen_name': 'Esmeral31612559', 'name': 'Pérola azul', 'id': '737647562409299968'}, {'screen_name': 'thenwtakeberlin', 'name': 'Miguel Guedes', 'id': '701731285622984709'}]",,,,
1399129031254097921,1398973038834728964,2021-05-30 19:22:10 -03,2021-05-30,19:22:10,-0300,1277975805046345730,antonio41077522,Antonio,,@Esmeral31612559 @thenwtakeberlin Sobre o desmatamento da Amazonia talvez isto te traga alguma luz    https://t.co/af0bgbiTKR,pt,[],['https://diariodopoder.com.br/politica/desmatamento-bateu-recorde-no-governo-lula-sob-silencio-constrangedor-de-ongs'],[],1,0,0,[],[],https://twitter.com/Antonio41077522/status/1399129031254097921,False,,0,,,,,,,,"[{'screen_name': 'Esmeral31612559', 'name': 'Pérola azul', 'id': '737647562409299968'}, {'screen_name': 'thenwtakeberlin', 'name': 'Miguel Guedes', 'id': '701731285622984709'}]",,,,
1399123735274262531,1399123735274262531,2021-05-30 19:01:07 -03,2021-05-30,19:01:07,-0300,236185838,marioscand,MARIO,,"Amazônia pode virar savana em até 30 anos com o ritmo atual de desmatamento, alerta especialista  https://t.co/fUgR3yUXRM ---COM BOÇALNAZI E O SINISTRO DO MEIO AMBIENTE AMAZÔNIA CAI EM 5 ANOS.",pt,[],['http://patrialatina.com.br/amazonia-pode-virar-savana-em-ate-30-anos-com-o-ritmo-atual-de-desmatamento-alerta-especialista/'],[],0,1,1,[],[],https://twitter.com/marioscand/status/1399123735274262531,False,,0,,,,,,,,[],,,,
1399117997252489220,1399117997252489220,2021-05-30 18:38:19 -03,2021-05-30,18:38:19,-0300,356988022,bel_velloso,Isabel Muniz Velloso,,"Isso me corta o coração. Veja.  Amazônia sem cor: com desmatamento, borboletas coloridas dão lugar às pardas e cinzentas  https://t.co/LUhpNDtwZC",pt,[],['https://oglobo.globo.com/sociedade/meio-ambiente/amazonia-sem-cor-com-desmatamento-borboletas-coloridas-dao-lugar-as-pardas-cinzentas-24997680?utm_source=Twitter&utm_medium=Social&utm_campaign=compartilhar'],[],0,0,0,[],[],https://twitter.com/bel_velloso/status/1399117997252489220,False,,0,,,,,,,,[],,,,
1399103748878839808,1399103748878839808,2021-05-30 17:41:42 -03,2021-05-30,17:41:42,-0300,1204301854433316866,domingosnoguei7,🚩🚩Domingos Nogueira🚩🚩,,Valor Econômico: Comunicado mostra que G7 deve elevar pressão contra o desmatamento na Amazônia.  https://t.co/WDTOR8FJUl  via @GoogleNews,pt,"[{'screen_name': 'googlenews', 'name': 'google news', 'id': '33584794'}]",['https://valor.globo.com/brasil/noticia/2021/05/30/comunicado-mostra-que-g7-deve-elevar-presso-contra-o-desmatamento-na-amaznia.ghtml'],[],0,1,3,[],[],https://twitter.com/DomingosNoguei7/status/1399103748878839808,False,,0,,,,,,,,[],,,,
1399096098065727488,1399027040427425792,2021-05-30 17:11:18 -03,2021-05-30,17:11:18,-0300,1374761396060180486,_kaykii019,_kaykii019,,"@explicaacritica Krai baforando brócolis, asmático tá por trás do desmatamento da Amazônia",pt,[],[],[],0,0,30,[],[],https://twitter.com/_kaykii019/status/1399096098065727488,False,,0,,,,,,,,"[{'screen_name': 'explicaacritica', 'name': 'Críticas Sociais Duvidosas', 'id': '1142142815117484032'}]",,,,
1399090305480134663,1399090305480134663,2021-05-30 16:48:17 -03,2021-05-30,16:48:17,-0300,14754376,luisnassif,Luis Nassif,,"Brasil tem pouco a comemorar no próximo Dia Mundial do Meio Ambiente - País contabiliza níveis recordes no desmatamento da Amazônia, e falta de água pode levar a apagões de energia elétrica nos próximos meses  https://t.co/IIpPhvDmrq  https://t.co/VEUZemIaJD",pt,[],['https://jornalggn.com.br/meio-ambiente/brasil-tem-pouco-a-comemorar-no-proximo-dia-mundial-do-meio-ambiente/'],['https://pbs.twimg.com/media/E2qRN2yX0AE4W2E.jpg'],2,42,134,[],[],https://twitter.com/luisnassif/status/1399090305480134663,False,,1,https://pbs.twimg.com/media/E2qRN2yX0AE4W2E.jpg,,,,,,,[],,,,
1399086006771593218,1399086006771593218,2021-05-30 16:31:12 -03,2021-05-30,16:31:12,-0300,315263503,jomirofi,Miguel Filho,,Comunicado mostra que G7 deve elevar pressão contra o desmatamento na Amazônia | Brasil | Valor Econômico  https://t.co/giKA8qvq0k,pt,[],['https://valor.globo.com/brasil/noticia/2021/05/30/comunicado-mostra-que-g7-deve-elevar-presso-contra-o-desmatamento-na-amaznia.ghtml'],[],0,0,0,[],[],https://twitter.com/jomirofi/status/1399086006771593218,False,,0,,,,,,,,[],,,,
1399074936463974403,1399048232257400840,2021-05-30 15:47:13 -03,2021-05-30,15:47:13,-0300,281753555,de_encapetados,Exorcista,,"@valoreconomico Ironicamente, desmatam a Amazônia em prol do crescimento econômico. Ironicamente, como resultado, teremos diminuição desse crescimento, afetando severamente a produção de quem inclusive promoveu ativamente o desmatamento",pt,[],[],[],0,0,0,[],[],https://twitter.com/de_encapetados/status/1399074936463974403,False,,0,,,,,,,,"[{'screen_name': 'valoreconomico', 'name': 'Valor Econômico', 'id': '32529120'}]",,,,
