id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1231704932635619328,1231634672553254913,2020-02-23 19:18:34 SA Eastern Standard Time,2020-02-23,19:18:34,-0300,984874715931127808,motokomunnist,☭🍷 AdriaNelson do Etanol 🍷☭ 🇨🇺 🇵🇸,,"@DamaresAlves Boa estada e se prepare para responder às denúncias sobre as violações aos direitos humanos conforme relatórios da ONU envolvendo as queimadas na Amazônia, perseguição aos índios e o combate à miséria.",pt,[],[],[],0,3,28,[],[],https://twitter.com/MotoKomunnist/status/1231704932635619328,False,,0,,,,,,,,"[{'screen_name': 'DamaresAlves', 'name': 'Damares Alves', 'id': '1083774484123975680'}]",,,,
1231609396154839041,1231609396154839041,2020-02-23 12:58:56 SA Eastern Standard Time,2020-02-23,12:58:56,-0300,62803861,waldenorpereira,Waldenor Pereira,,"#CarnavalDoForaBolsonaro ultrapassa fronteiras. Em Colonia, na Alemanha, carro alegórico critica o pior presidente da nossa história, com Jair de fósforo na mão à frente de árvores e passistas carbonizadas, referência às queimadas na Amazônia.  https://t.co/TwGf9ZL89w",pt,[],['https://m.dw.com/pt-br/bolsonaro-é-tema-de-carro-alegórico-na-alemanha/a-52467224'],[],0,2,6,['carnavaldoforabolsonaro'],[],https://twitter.com/waldenorpereira/status/1231609396154839041,False,,0,,,,,,,,[],,,,
1231600162356723712,1231600162356723712,2020-02-23 12:22:15 SA Eastern Standard Time,2020-02-23,12:22:15,-0300,977505629660213248,crissrc,CHRISS,,Fazer um boneco para ofender o governo e as queimadas na Amazônia é fácil. Quero ver é ter coragem de dizer o nome de quem financiou o bonequinho!🤔,pt,[],[],[],1,13,81,[],[],https://twitter.com/Crissrc/status/1231600162356723712,False,,0,,,,,,,,[],,,,
1231597322506768384,1231597322506768384,2020-02-23 12:10:58 SA Eastern Standard Time,2020-02-23,12:10:58,-0300,25283401,unatalie,Natalie Unterstell,,"Marchinha do Guedes pros investidores, 6 meses depois da crise das queimadas na Amazônia: ""e aí, eu fiz tudo pra vc gostar de mim, ó meu bem, não faz assim comigo não...""",pt,[],[],[],1,4,26,[],[],https://twitter.com/unatalie/status/1231597322506768384,False,https://twitter.com/folha/status/1231553269740249088,0,,,,,,,,[],,,,
1231590552078032901,1231559603403378688,2020-02-23 11:44:04 SA Eastern Standard Time,2020-02-23,11:44:04,-0300,74704407,twemarco,twemarco,,"@jjauneprinx @Galbijin @JornalOGlobo Fogo? Tá falando da Amazônia? Hahahaha!! O recorde de queimadas, que acontece por lá todos os anos, foi no governo petista. Marina “ET” Silva era a ministra do Meio Ambiente. Casa da mãe Joana foi quando o país era saqueado por larápios vermelhos.",pt,[],[],[],1,0,0,[],[],https://twitter.com/TweMarco/status/1231590552078032901,False,,0,,,,,,,,"[{'screen_name': 'JornalOGlobo', 'name': 'Jornal O Globo', 'id': '54341363'}]",,,,
1231577063330603008,1231577063330603008,2020-02-23 10:50:28 SA Eastern Standard Time,2020-02-23,10:50:28,-0300,38498888,jornalhojeemdia,Jornal Hoje em Dia,,"Com apelo às queimadas na Amazônia, Pena de Pavão de Krishna leva mensagens de paz ao Cidade Nova   https://t.co/lhQQk7Hk2L",pt,[],['http://hoje.vc/2tnzj'],[],2,0,4,[],[],https://twitter.com/jornalhojeemdia/status/1231577063330603008,False,,0,,,,,,,,[],,,,
1231576410302689287,1228997214296592384,2020-02-23 10:47:52 SA Eastern Standard Time,2020-02-23,10:47:52,-0300,1225859295553687552,celsoramalho5,Celso Ramalho,,"@heiduty Onde estão esta melhora na segurança? E as obras de infraestrutura? Ah,abriu o caminho pra agronegócio,claro a Amazônia esta aí mesmo com as queimadas.",pt,[],[],[],0,0,0,[],[],https://twitter.com/CelsoRamalho5/status/1231576410302689287,False,,0,,,,,,,,[],,,,
1231447331016519685,1231428039805931520,2020-02-23 02:14:57 SA Eastern Standard Time,2020-02-23,02:14:57,-0300,1154808246433144833,cami_greff,Camila Greff,,"@cynaramenezes Leonardo di Caprio não criticava os incêndios na Amazônia antes? Queimadas anuais que existem desde a era PT? Que espécie de pessoa só se preocupa com o meio ambiente quando muda o Governo? Meio ambiente não tem bandeira, falhas precisam ser criticadas em qualquer gestão.",pt,[],[],[],0,0,1,[],[],https://twitter.com/Cami_Greff/status/1231447331016519685,False,,0,,,,,,,,"[{'screen_name': 'cynaramenezes', 'name': 'cynara menezes', 'id': '74763991'}]",,,,
1231391973443088384,1231353476338323458,2020-02-22 22:34:59 SA Eastern Standard Time,2020-02-22,22:34:59,-0300,747563635883577358,samlisboa181,LILITH,,@OJonathanF @reproyals Ou pintado uma girafa pelas queimadas na Amazônia,pt,[],[],[],1,0,171,[],[],https://twitter.com/samlisboa181/status/1231391973443088384,False,,0,,,,,,,,"[{'screen_name': 'OJonathanF', 'name': 'Jonathan', 'id': '1031590702394875904'}, {'screen_name': 'reproyals', 'name': 'yuri', 'id': '1250178633249030145'}]",,,,
1231387210727010304,1231366972245467136,2020-02-22 22:16:03 SA Eastern Standard Time,2020-02-22,22:16:03,-0300,3131331993,willersontnt,"Raphael, o grande 🇧🇷",,@vasilva1971 @piulera @jairbolsonaro @ernestofaraujo Ótimo. Deu a face esquerda? Dê a direita. Deu a direita? Dê a esquerda de novo. Um erro não justifica o outro. Bolsonaro erra toda vez que é ignorante. Toda vez que omite informações ou mente (coisa que já fez dizendo que não haviam queimadas na amazônia no início de 2019),pt,[],[],[],1,0,0,[],[],https://twitter.com/willersontnt/status/1231387210727010304,False,,0,,,,,,,,"[{'screen_name': 'vasilva1971', 'name': 'Vivi Silva 🇧🇷', 'id': '183482869'}, {'screen_name': 'piulera', 'name': 'piula', 'id': '1130934814322900993'}, {'screen_name': 'jairbolsonaro', 'name': 'Jair M. Bolsonaro', 'id': '128372940'}, {'screen_name': 'ernestofaraujo', 'name': 'Ernesto Araújo', 'id': '1062831969476771842'}]",,,,
