id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1089671511508766720,1089513367541301248,2019-01-27 20:48:28 -03,2019-01-27,20:48:28,-0300,112847045,rsbenedito,Rafael ⚪️⚫️ 💚,,"@analuferrar2 @maluamato1 @VEJA Ele foi ministra a mais de 10 anos atrás, Mariana foi em 2015. Non  periodo que ela foi ministra ela planejou e colocou em pratica um projeto que reduziu o índice de desmatamento da Amazônia em 40%. Um legado durou alguns anos após ela ter saído do ministério mas foi destruído.",pt,[],[],[],0,0,0,[],[],https://twitter.com/RSBenedito/status/1089671511508766720,False,,0,,,,,,,,"[{'screen_name': 'analuferrar2', 'name': 'analuferrar', 'id': '830834235523158016'}, {'screen_name': 'VEJA', 'name': 'VEJA', 'id': '17715048'}]",,,,
1089666241948729344,1089116706574876674,2019-01-27 20:27:31 -03,2019-01-27,20:27:31,-0300,721846371746201600,malcomecks,Malcolm Ecks 🎗#FreeAssange 🎗#Ribbons4 Assange🎗,,"@oarenito @tofanipiu @Adrianasscamar1 @EroniceAndrade @0DuDuMonteiro @Edvalvezan @alicesgoncalo28 @danpac2006 @inocenciamanoel @zehdeabreu @JeanSena @passarosErosas @DilmaResiste @PetralhaZuero @loka_costa @DCM_online Isso é falso. A manchete é enganosa. Ň houve redução d 72% no combate ao desmate. O texto diz q  houve queda d 72% no INVESTIMENTO EM MEDIDAS DE COMBATE E PREVENÇÃO ao desmatamento na Amazônia. E isso em relação ao último ano do gov Lula. Segundo o INPE, entre agosto d 2003 e ==&gt;",pt,[],[],[],1,0,1,[],[],https://twitter.com/MalcomEcks/status/1089666241948729344,False,,0,,,,,,,,"[{'screen_name': 'oarenito', 'name': 'Tales', 'id': '2518506109'}, {'screen_name': 'tofanipiu', 'name': 'Piu🚩🚩', 'id': '475700120'}, {'screen_name': '0DuDuMonteiro', 'name': '∆ DuDu DESATIVADO', 'id': '1246665811'}, {'screen_name': 'alicesgoncalo28', 'name': 'Alice de Souza 🐾🌳 🌎', 'id': '2627002654'}, {'screen_name': 'inocenciamanoel', 'name': 'inocencia manoel', 'id': '771741061'}, {'screen_name': 'zehdeabreu', 'name': 'José de Abreu', 'id': '206222507'}, {'screen_name': 'JeanSena', 'name': 'JEAN SENA', 'id': '125998076'}, {'screen_name': 'passarosErosas', 'name': '☭Lisa Débora Vacinadah Indarráus 🏡 ♀️ 🏳️\u200d🌈🤘🏼', 'id': '861894420'}, {'screen_name': 'DilmaResiste', 'name': '🎗Dilma Resistente', 'id': '4550317786'}, {'screen_name': 'PetralhaZuero', 'name': 'Petralha Zuero Oficial', 'id': '911310734298107904'}, {'screen_name': 'loka_costa', 'name': 'Maah 🆘', 'id': '329701747'}, {'screen_name': 'DCM_online', 'name': 'DCM ONLINE', 'id': '43340387'}]",,,,
1089651586698264576,1089552444307238912,2019-01-27 19:29:17 -03,2019-01-27,19:29:17,-0300,39511884,leohernandez,Leonardo Hernandez,,"@Nathaliamariel A repartição de competências para licenciamento ambiental promovida pela LC n. 140/2011 teria sido bem sucedida? Ou melhor ser repensada? Vejo na prática os reflexos dessa legislação na crise hídrica do oeste da Bahia, nas tragédias em Minas e no desmatamento na Amazônia.",pt,[],[],[],1,2,2,[],[],https://twitter.com/LeoHernandez/status/1089651586698264576,False,,0,,,,,,,,"[{'screen_name': 'Nathaliamariel', 'name': 'Nathália Mariel', 'id': '88659292'}]",,,,
1089603317414748160,1088884618177249280,2019-01-27 16:17:29 -03,2019-01-27,16:17:29,-0300,2548335058,lorenadozap,andróide paranóico ☭ 🇾🇪,,"@OJohnnyBravo_ @amerricanbeauty @GhighflaBr @stopbelievingme @putianesamuray @giovannkfkd sabe o que mais é chato? o agronegocio ser a principal causa do efeito estufa e desmatamento, principalmente da amazonia. a precuaria ta acabando com o mundo e a gente quer ajudar",pt,[],[],[],0,0,0,[],[],https://twitter.com/lorenadozap/status/1089603317414748160,False,,0,,,,,,,,"[{'screen_name': 'amerricanbeauty', 'name': 'luiza', 'id': '709393110'}, {'screen_name': 'giovannkfkd', 'name': '.g', 'id': '254667152'}]",,,,
1089549030978449408,1089549030978449408,2019-01-27 12:41:46 -03,2019-01-27,12:41:46,-0300,612881067,opsizzy,𝕴𝖟𝖆 ᶜ ʳ ᶠ,,"daqui a um ano ngm vai lembrar mais e tudo continuará igual, pq as pessoas não se importam com o meio ambiente, não se importam com o longo prazo, ngm liga pro desmatamento da amazonia pq ainda não estamos morrendo sem ar.",pt,[],[],[],0,0,0,[],[],https://twitter.com/opsizzy/status/1089549030978449408,False,,0,,,,,,,,[],,,,
1089539385916383233,1089533683000852480,2019-01-27 12:03:26 -03,2019-01-27,12:03:26,-0300,176592635,treinandorobos,raquel ✨,,"@fernandoflv agr fala de Belo Monte, de terem feito pouco pra fortalecer a diminuição do desmatamento na Amazônia pela moratória da soja (q mt gente pega o gráfico e fala q foi conquista unica e exclusiva do Lula)  porra...",pt,[],[],[],1,0,1,[],[],https://twitter.com/treinandorobos/status/1089539385916383233,False,,0,,,,,,,,"[{'screen_name': 'fernandoflv', 'name': 'Dr. Fujiro Nakombi', 'id': '80338350'}]",,,,
1089538515912798208,1089263093073526785,2019-01-27 11:59:59 -03,2019-01-27,11:59:59,-0300,1251703621,ocarajj,Jansen Torres,,"@cynaramenezes É ter uma política ambiental, ter uma justiça austera, rápida e efetiva para julgar os casos de violação ambiental. Cadê os culpados pela tragédia em Mariana? Pelo desmatamento na Amazônia? Só ministério não resolveu pq virou só mais um cabide.",pt,[],[],[],0,0,2,[],[],https://twitter.com/OcaraJj/status/1089538515912798208,False,,0,,,,,,,,"[{'screen_name': 'cynaramenezes', 'name': 'cynara menezes', 'id': '74763991'}]",,,,
1089536196320071681,1089536196320071681,2019-01-27 11:50:46 -03,2019-01-27,11:50:46,-0300,167075969,juliocesaramor,Julio Cesar M Amorim,,No governo do #PT: confirmado o menor desmatamento da história na Amazônia - ((o))eco -  https://t.co/sDPTCjmdJC via @Shareaholic,pt,"[{'screen_name': 'shareaholic', 'name': 'shareaholic', 'id': '791635'}]",['https://goo.gl/kbv5Kf'],[],0,0,0,['pt'],[],https://twitter.com/juliocesaramor/status/1089536196320071681,False,,0,,,,,,,,[],,,,
1089535973631889409,1089535973631889409,2019-01-27 11:49:53 -03,2019-01-27,11:49:53,-0300,167075969,juliocesaramor,Julio Cesar M Amorim,,"Amazônia atinge em 2012 o menor desmatamento em 24 anos, diz #PT  Veja gráficos!   https://t.co/WoVa4jDjL0 via @UOLNoticias @UOL",pt,"[{'screen_name': 'uolnoticias', 'name': 'uol notícias', 'id': '14594698'}, {'screen_name': 'uol', 'name': 'uol', 'id': '70799317'}]",['https://noticias.uol.com.br/meio-ambiente/ultimas-noticias/redacao/2013/06/05/amazonia-atinge-o-menor-desmatamento-em-24-anos-diz-governo.htm'],[],0,0,0,['pt'],[],https://twitter.com/juliocesaramor/status/1089535973631889409,False,,0,,,,,,,,[],,,,
1089535577014321152,1089535577014321152,2019-01-27 11:48:18 -03,2019-01-27,11:48:18,-0300,167075969,juliocesaramor,Julio Cesar M Amorim,,Foi no governo do #PT: Desmatamento na Amazônia cai a menor nível desde 1988!  #G1  https://t.co/s3cOXawChm,pt,[],['http://g1.globo.com/politica/noticia/2012/06/saiba-mais-desmatamento-na-amazonia-cai-a-menor-nivel-desde-1988-1.html?utm_source=twitter&utm_medium=share-bar-desktop&utm_campaign=share-bar'],[],0,0,0,"['pt', 'g1']",[],https://twitter.com/juliocesaramor/status/1089535577014321152,False,,0,,,,,,,,[],,,,
