id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1196202802839769089,1196202802839769089,2019-11-17 20:05:47 SA Eastern Standard Time,2019-11-17,20:05:47,-0300,1135596759948890112,kiralinhares,penso logo desligo,,"TREZE IGREJAS QUEIMADAS NO CHILE E O PAPA FRANCISCO CALADO... AGORA A ESQUERDA  TOCARAM  FOGO  NA ESTRADA NA AMAZÔNIA, AÍ  FOI AQUELE MIMIMI. DOIS  PESOS  E DUAS  MENINAS  NÃO  VALE.",pt,[],[],[],0,0,1,[],[],https://twitter.com/kiralinhares/status/1196202802839769089,False,,0,,,,,,,,[],,,,
1196194044789108736,1196194044789108736,2019-11-17 19:30:59 SA Eastern Standard Time,2019-11-17,19:30:59,-0300,807738174,aabdenur,Adriana Erthal Abdenur,,"O que o @LulaOficial já disse sobre as queimadas na Amazônia, o pico no desmatamento e a tragédia dos povos indígenas desde que foi solto? Pergunto numa boa; estive viajando. Também me interessa qualquer afirmação sobre Belo Monte.",pt,"[{'screen_name': 'lulaoficial', 'name': 'lula', 'id': '2670726740'}]",[],[],20,20,213,[],[],https://twitter.com/AAbdenur/status/1196194044789108736,False,,0,,,,,,,,[],,,,
1196190022904492032,1196190022904492032,2019-11-17 19:15:00 SA Eastern Standard Time,2019-11-17,19:15:00,-0300,87677475,ptnosenado,PT no Senado,,AUMENTO DAS QUEIMADAS  O sentimento de impunidade criado pelo desmonte dos órgãos de fiscalização ambiental resultou no crescimento das queimadas na Amazônia. @SenadorRogerio relembra a omissão do governo Bolsonaro para controlar o avanço da destruição das florestas. Assista!  https://t.co/FmnDBDAJaY,pt,"[{'screen_name': 'senadorrogerio', 'name': 'rogério carvalho 🇧🇷🏴', 'id': '144372753'}]",[],[],14,56,134,[],[],https://twitter.com/PTnoSenado/status/1196190022904492032,False,,1,https://pbs.twimg.com/amplify_video_thumb/1194378791252037634/img/WZC5MG7ewW8j5zS9.jpg,,,,,,,[],,,,
1196189772265459712,1196189772265459712,2019-11-17 19:14:00 SA Eastern Standard Time,2019-11-17,19:14:00,-0300,916055322552397824,hurrica04144496,Hurricane 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,,"A esquerdalha vai botar a culpa nas queimadas da Amazônia , deste ano !!",pt,[],[],[],0,0,0,[],[],https://twitter.com/Hurrica04144496/status/1196189772265459712,False,https://twitter.com/alexandregarcia/status/1196183115116531712,0,,,,,,,,[],,,,
1196179798172635137,1196171562287648768,2019-11-17 18:34:22 SA Eastern Standard Time,2019-11-17,18:34:22,-0300,333591510,andrehbuss,Andre Henrique Buss,,@davisalgado23 Ele só sabe falar de Amazônia sendo que a Guiana Francesa teve queimadas fora do normal. A França está uma porcaria. Só ver os vídeos. Vi uma live onde o cara escapou 2x de levar gás lacrimogêneo na cara...,pt,[],[],[],0,0,0,[],[],https://twitter.com/AndreHBuss/status/1196179798172635137,False,,0,,,,,,,,"[{'screen_name': 'davisalgado23', 'name': 'Davi Salgado', 'id': '36731709'}]",,,,
1196167115683827712,1196167115683827712,2019-11-17 17:43:58 SA Eastern Standard Time,2019-11-17,17:43:58,-0300,837832213647486976,_coaliimac,cami 🐇,,"Mano, eu fico com o coração tão apertado ao pensar o número de animais silvestres que estão morrendo nas queimadas e incêndios no mundo TODO....  Além da Amazônia, florestas na Australia e áreas no Congo e na Angola estão sofrendo com isso...",pt,[],[],[],0,0,1,[],[],https://twitter.com/_coaliimac/status/1196167115683827712,False,,0,,,,,,,,[],,,,
1196158536851562496,1196158536851562496,2019-11-17 17:09:53 SA Eastern Standard Time,2019-11-17,17:09:53,-0300,164528735,tiagotx_real,Tiago TX,,Graças a Deus as queimadas na Amazônia acabaram!,pt,[],[],[],0,0,0,[],[],https://twitter.com/TiagoTX_Real/status/1196158536851562496,False,,0,,,,,,,,[],,,,
1196129191705661445,1196125686492258304,2019-11-17 15:13:16 SA Eastern Standard Time,2019-11-17,15:13:16,-0300,30872719,juizrafael,Rafael de Menezes,,"O país está mobilizado contra óleo nas praias e queimadas na Amazônia, mas não enfrenta o maior problema ambiental: o esgoto e suas doenças 😢  https://t.co/YwpkwLBJp9",pt,[],['https://www.diariodepernambuco.com.br/noticia/vidaurbana/2019/11/maes-de-criancas-com-microcefalia-sofrem-de-depressao.html'],[],0,2,13,[],[],https://twitter.com/juizrafael/status/1196129191705661445,False,,0,,,,,,,,[],,,,
1196121526770253827,1196121526770253827,2019-11-17 14:42:49 SA Eastern Standard Time,2019-11-17,14:42:49,-0300,162775975,janetelimelo,Janete Melo,,O estudo estima que mais de 10 mil quilômetros quadrados de floresta foram derrubados de agosto de 2018 a julho de 2019... e são beeeem diferentes dos números apresentados pelo 'engov' brasileiro    https://t.co/EvdnjQHE72  #Amazônia #queimadas #desmatamento,pt,[],['https://oglobo.globo.com/sociedade/sustentabilidade/amazonia-teve-maior-perda-de-floresta-desde-2008-diz-estudo-24085068'],[],0,0,1,"['amazônia', 'queimadas', 'desmatamento']",[],https://twitter.com/janetelimelo/status/1196121526770253827,False,,0,,,,,,,,[],,,,
1196091587782201345,1195834701140725760,2019-11-17 12:43:51 SA Eastern Standard Time,2019-11-17,12:43:51,-0300,50311751,frankcastle2009,F R A N K 50K,,"@conexaopolitica O Papa preocupado com as queimadas na Amazônia enquanto seus líderes religiosos vão abusando sexualmente das crianças, os fiéis vão acobertando, e fica essa putaria. Coloca um pedófilo pra cuidar de caso de pedófilo, melhor falar de fogo na Amazônia mesmo.",pt,[],[],[],0,0,0,[],[],https://twitter.com/FrankCastle2009/status/1196091587782201345,False,,0,,,,,,,,"[{'screen_name': 'conexaopolitica', 'name': 'Conexão Política', 'id': '1523748277'}]",,,,
